"","x"
"1","A"
"2","a1"
"3","a2"
"4","Aa"
"5","B"
"6","b2"
"7","b3"
"8","c"
"9","C"
"10","Cividale"
"11","Cm"
"12","D"
"13","Da"
"14","Db"
"15","Dc"
"16","E"
"17","f"
"18","F"
"19","G"
"20","H"
"21","I"
"22","J"
"23","K"
"24","Ka"
"25","Kp"
"26","L"
"27","m"
"28","M"
"29","Mh1"
"30","N"
"31","N2"
"32","O"
"33","p"
"34","P"
"35","bamberg136"
"36","Barc239"
"37","Barc850"
"38","BarbLat3953"
"39","PalLat753"
"40","eta"
"41","Harley3041"
"42","MilanoD55sup"
"43","MunchenLat759"
"44","NurnbergII77"
"45","omega"
"46","psi"
"47","StrApp8"
"48","Q"
"49","r"
"50","R"
"51","s"
"52","S"
"53","Sg"
"54","T1"
"55","T2"
"56","T3"
"57","To"
"58","U"
"59","V"
"60","VeAg"
"61","w"
"62","X"
"63","Y"
"64","z"
"65","Z"
